policy,transaction_cost_bps,cum_ret_mean,cum_ret_std,ann_ret_mean,ann_ret_std,ann_vol_mean,ann_vol_std,sharpe_mean,sharpe_std,sortino_mean,sortino_std,max_dd_mean,max_dd_std,total_fees_mean,total_fees_std,total_turnover_mean,total_turnover_std,final_value_mean,final_value_std
Agent_DoubleDQN,0.0,0.526583639247135,0.25462452432106036,1.859417290521415,0.950634632208748,0.4803988033366804,0.22456463706376942,3.6183652618136355,0.8829496189889693,4.081936975729336,2.14467324762512,-0.2045823158508612,0.09724951022078192,0.0,0.0,111.23333392143249,90.16771437146583,15265.836392471352,2546.2452432106056
Agent_DoubleDQN,10.0,0.4357246967655214,0.1878194070903235,1.436102722154468,0.7344918726386066,0.5696674352827336,0.12855631286156552,2.52541846743748,1.1752886906899522,3.2645531336514195,1.3921585808913357,-0.28674506997839694,0.0765535690191614,1263.8736135901913,1464.9549396249367,99.23333349227906,118.39162941656066,14357.246967655214,1878.1940709032344
EqualWeight,0.0,0.7206613166711384,0.0,2.6771725801522583,0.0,0.5537003484487679,0.0,4.8350566137478275,0.0,5.924457679017171,0.0,-0.21070554914245446,0.0,0.0,0.0,2.0,0.0,17206.613166711384,0.0
EqualWeight,10.0,0.7172159089708865,0.0,2.6595307840346245,0.0,0.5537207282568922,0.0,4.8030182008476014,0.0,5.885956469373912,0.0,-0.21070554914245226,0.0,20.0,0.0,2.0,0.0,17172.159089708864,0.0
HoldAsset0,0.0,0.6300067419337019,0.0,2.22934971228262,0.0,0.6495186841230054,0.0,3.4323103129352375,0.0,4.486469575607737,0.0,-0.29627889184779616,0.0,0.0,0.0,2.0,0.0,16300.067419337018,0.0
HoldAsset0,10.0,0.6267423361420563,0.0,2.2138539380417845,0.0,0.6495371771862867,0.0,3.4083559520770796,0.0,4.455691297887731,0.0,-0.2962788918477941,0.0,20.0,0.0,2.0,0.0,16267.423361420562,0.0
HoldCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
HoldCash,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
Random,0.0,0.38049654027757873,0.21377636563317437,1.2378498326002823,0.8353292848138096,0.4626651678868039,0.006245243978836568,2.684645813798019,1.8306291520835147,3.123194508545057,2.0921321270498328,-0.2112492254159864,0.08888446463713497,0.0,0.0,4791.86667072773,47.06856770932011,13804.965402775788,2137.7636563317437
Random,10.0,-0.9885377418287031,0.002103452788327239,-0.9999769459031274,9.847698250074541e-06,0.46605712367139696,0.006503659318452515,-2.1459460714936527,0.03008502475202825,-2.7463161388272566,0.06424689849045098,-0.9887341320387067,0.0020205715809894498,10548.88493572555,513.0201359357271,4791.86667072773,47.06856770932011,114.6225817129691,21.03452788327226
SMA,0.0,0.6027197935072917,0.0,2.1011557407167456,0.0,0.4577485880835959,0.0,4.590195905598435,0.0,4.6354657704008275,0.0,-0.16167200138273316,0.0,0.0,0.0,1064.0,0.0,16027.197935072914,0.0
SMA,10.0,-0.44738857963170986,0.0,-0.7590222331195939,0.0,0.46178954268018124,0.0,-1.6436539733614661,0.0,-1.8323081033570603,0.0,-0.456798070711124,0.0,8056.952634986182,0.0,1064.0,0.0,5526.1142036829015,0.0
