policy,seed,transaction_cost_bps,cum_ret,ann_ret,ann_vol,sharpe,sortino,max_dd,total_fees,total_turnover,final_value,n_steps
Agent_DoubleDQN,0,0.0,0.705471737129578,2.599767570524629,0.5583336359602549,4.656297519117617,5.968789809075531,-0.20053676921540256,0.0,240.33333349227905,17054.71737129578,3651
Random,0,0.0,0.6725043926618062,2.4350622329556124,0.4556110175398797,5.344607759175608,6.0643930977039595,-0.13419171507788757,0.0,4797.500003457069,16725.043926618062,3651
HoldCash,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10000.0,3651
HoldAsset0,0,0.0,0.6300067419337019,2.22934971228262,0.6495186841230054,3.432310312935238,4.486469575607737,-0.29627889184779616,0.0,2.0,16300.06741933702,3651
EqualWeight,0,0.0,0.7206613166711384,2.6771725801522583,0.5537003484487679,4.8350566137478275,5.924457679017171,-0.21070554914245446,0.0,2.0,17206.613166711384,3651
SMA,0,0.0,0.6027197935072917,2.1011557407167456,0.4577485880835959,4.590195905598435,4.6354657704008275,-0.16167200138273316,0.0,1064.0,16027.197935072916,3651
Agent_DoubleDQN,1,0.0,0.6041451476303001,2.107777161846271,0.569418483009956,3.701631028357587,4.695477481851224,-0.2565982301118539,0.0,19.0,16041.451476303002,3651
Random,1,0.0,0.13545893221747818,0.356360605215446,0.46698344133801406,0.7631118494550323,0.8732198396605335,-0.1942786581388647,0.0,4843.500005841255,11354.589322174783,3651
HoldCash,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10000.0,3651
HoldAsset0,1,0.0,0.6300067419337019,2.22934971228262,0.6495186841230054,3.432310312935238,4.486469575607737,-0.29627889184779616,0.0,2.0,16300.06741933702,3651
EqualWeight,1,0.0,0.7206613166711384,2.6771725801522583,0.5537003484487679,4.8350566137478275,5.924457679017171,-0.21070554914245446,0.0,2.0,17206.613166711384,3651
SMA,1,0.0,0.6027197935072917,2.1011557407167456,0.4577485880835959,4.590195905598435,4.6354657704008275,-0.16167200138273316,0.0,1064.0,16027.197935072916,3651
Agent_DoubleDQN,2,0.0,0.6195283923505035,2.17976420614593,0.6446277436203696,3.3814309016388147,4.42983983375171,-0.28764950057244554,0.0,32.83333349227905,16195.283923505036,3651
Random,2,0.0,0.2892314492274717,0.8395924227699452,0.45604576664171637,1.8410266376165894,2.187164855596956,-0.22014992235318248,0.0,4776.500003218651,12892.314492274716,3651
HoldCash,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10000.0,3651
HoldAsset0,2,0.0,0.6300067419337019,2.22934971228262,0.6495186841230054,3.432310312935238,4.486469575607737,-0.29627889184779616,0.0,2.0,16300.06741933702,3651
EqualWeight,2,0.0,0.7206613166711384,2.6771725801522583,0.5537003484487679,4.8350566137478275,5.924457679017171,-0.21070554914245446,0.0,2.0,17206.613166711384,3651
